Learning Rate: 100
EPOCH,ABS_ERROR
0,2
1,1
2,0.978942
3,0.000737121
4,0.000721149
5,0.000706131
6,0.00069159
7,0.000677526
8,0.000664177
9,0.000651304
10,0.000638909
11,0.00062699
12,0.000615549
13,0.000604345
14,0.000593976
15,0.000583488
16,0.000573715
17,0.000563943
18,0.000554646
19,0.000545827
20,0.000537008
21,0.000528665
22,0.000520323
23,0.000512457
24,0.00050483
25,0.000497441
26,0.000490053
27,0.000483141
28,0.000476229
29,0.000469555
30,0.00046312
31,0.000456923
32,0.000450726
33,0.000444768
34,0.000439048
35,0.000433566
36,0.000427846
37,0.000422603
38,0.00041736
39,0.000412355
40,0.00040735
41,0.000402346
42,0.000397818
43,0.000393051
44,0.000388523
45,0.000384234
46,0.000379706
47,0.000375655
48,0.000371365
49,0.000367314
50,0.000363501
51,0.000359688
52,0.000355876
53,0.000352063
54,0.000348489
55,0.000345033
56,0.000341459
57,0.000338123
58,0.000334787
59,0.000331451
60,0.000328354
61,0.000325256
62,0.000322158
63,0.000319061
64,0.000315963
65,0.000313104
66,0.000310245
67,0.000307386
68,0.000304765
69,0.000301906
70,0.000299285
71,0.000296664
72,0.000294043
73,0.000291661
74,0.00028904
75,0.000286658
76,0.000284275
77,0.000281893
78,0.000279511
79,0.000277367
80,0.000274984
81,0.00027284
82,0.000270696
83,0.000268552
84,0.000266408
85,0.000264264
86,0.000262358
87,0.000260214
88,0.000258309
89,0.000256403
90,0.000254498
91,0.000252592
92,0.000250686
93,0.000248781
94,0.000246875
95,0.000245208
96,0.000243541
97,0.000241635
98,0.000239968
99,0.0002383
100,0.000236633
101,0.000234966
102,0.000233299
103,0.00023187
104,0.000230203
105,0.000228774
106,0.000227106
107,0.000225678
108,0.000224249
109,0.000222581
110,0.000221152
111,0.000219724
112,0.000218295
113,0.000217104
114,0.000215675
115,0.000214247
116,0.000212818
117,0.000211627
118,0.000210198
119,0.000209008
120,0.000207817
121,0.000206388
122,0.000205198
123,0.000204007
124,0.000202817
125,0.000201626
126,0.000200436
127,0.000199245
128,0.000198055
129,0.000196864
130,0.000195674
131,0.000194722
132,0.000193531
133,0.000192579
134,0.000191389
135,0.000190436
136,0.000189246
137,0.000188294
138,0.000187103
139,0.000186151
140,0.000185199
141,0.000184247
142,0.000183056
143,0.000182104
144,0.000181152
145,0.0001802
146,0.000179248
147,0.000178296
148,0.000177343
149,0.00017663
150,0.000175677
151,0.000174725
152,0.000173773
153,0.000173059
154,0.000172107
155,0.000171155
156,0.000170441
157,0.000169489
158,0.000168775
159,0.000167823
160,0.000167109
161,0.000166157
162,0.000165443
163,0.000164491
164,0.000163777
165,0.000163064
166,0.00016235
167,0.000161398
168,0.000160684
169,0.00015997
170,0.000159256
171,0.000158543
172,0.000157829
173,0.000157115
174,0.000156401
175,0.000155687
176,0.000154974
177,0.00015426
178,0.000153546
179,0.000152832
180,0.000152118
181,0.000151405
182,0.000150929
183,0.000150215
184,0.000149501
185,0.000148788
186,0.000148312
187,0.000147598
188,0.000146885
189,0.000146409
190,0.000145695
191,0.000144982
192,0.000144506
193,0.000143792
194,0.000143317
195,0.000142603
196,0.000142128
197,0.000141414
198,0.000140938
199,0.000140224
200,0.000139749
201,0.000139274
202,0.00013856
203,0.000138084
204,0.000137609
205,0.000136895
206,0.000136419
207,0.000135944
208,0.00013523
209,0.000134755
210,0.000134279
211,0.000133804
212,0.000133328
213,0.000132614
214,0.000132139
215,0.000131664
216,0.000131188
217,0.000130713
218,0.000130237
219,0.000129762
220,0.000129286
221,0.000128811
222,0.000128335
223,0.00012786
224,0.000127384
225,0.000126909
226,0.000126433
227,0.000125958
228,0.000125482
229,0.000125007
230,0.000124531
231,0.000124056
232,0.00012358
233,0.000123105
234,0.000122629
235,0.000122392
236,0.000121917
237,0.000121441
238,0.000120966
239,0.00012049
240,0.000120253
241,0.000119778
242,0.000119302
243,0.000118827
244,0.00011859
245,0.000118114
246,0.000117638
247,0.000117401
248,0.000116926
249,0.00011645
250,0.000116213
251,0.000115738
252,0.000115262
253,0.000115025
254,0.00011455
255,0.000114312
256,0.000113837
257,0.000113361
258,0.000113124
259,0.000112649
260,0.000112412
261,0.000111936
262,0.000111699
263,0.000111223
264,0.000110986
265,0.000110511
266,0.000110274
267,0.000109798
268,0.000109561
269,0.000109085
270,0.000108848
271,0.000108373
272,0.000108136
273,0.00010766
274,0.000107423
275,0.000107186
276,0.00010671
277,0.000106473
278,0.000106236
279,0.00010576
280,0.000105523
281,0.000105048
282,0.00010481
283,0.000104573
284,0.000104098
285,0.00010386
286,0.000103623
287,0.000103148
288,0.000102911
289,0.000102673
290,0.000102436
291,0.000101961
292,0.000101724
293,0.000101486
294,0.000101249
295,0.000100774
296,0.000100536
297,0.000100299
298,0.000100062
299,9.95865e-05
300,9.93493e-05
301,9.91121e-05
302,9.88749e-05
303,9.86378e-05
304,9.84006e-05
305,9.7925e-05
306,9.76878e-05
307,9.74506e-05
308,9.72134e-05
309,9.69762e-05
310,9.67391e-05
311,9.62635e-05
312,9.60263e-05
313,9.57891e-05
314,9.55519e-05
315,9.53147e-05
316,9.50775e-05
317,9.48403e-05
318,9.46031e-05
319,9.43659e-05
320,9.41287e-05
321,9.36531e-05
322,9.34159e-05
323,9.31787e-05
324,9.29415e-05
325,9.27042e-05
326,9.2467e-05
327,9.22298e-05
328,9.19926e-05
329,9.17554e-05
330,9.15182e-05
331,9.1281e-05
332,9.10438e-05
333,9.08066e-05
334,9.05693e-05
335,9.03321e-05
336,9.00949e-05
337,8.98577e-05
338,8.96205e-05
339,8.93832e-05
340,8.9146e-05
341,8.89088e-05
342,8.86716e-05
343,8.84343e-05
344,8.81971e-05
345,8.79599e-05
346,8.79611e-05
347,8.77238e-05
348,8.74866e-05
349,8.72494e-05
350,8.70121e-05
